MsgID.LOCAL_POSITION,14.5040000,-0.0525668,0.4722641,0.0386933
MsgID.LOCAL_VELOCITY,14.5040000,-0.0000017,-0.0000004,-0.0000011
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924799,-0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.7550000,-0.0524686,0.3627838,0.0177967
MsgID.LOCAL_VELOCITY,14.7550000,0.0000254,0.0000107,0.0000074
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924799,0.0080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.0040000,-0.0523031,0.2832896,-0.0082055
MsgID.LOCAL_VELOCITY,15.0040000,0.0000178,0.0000061,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924799,0.0350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.2540000,-0.0523338,0.1920687,-0.0357203
MsgID.LOCAL_VELOCITY,15.2540000,-0.0000026,-0.0000020,0.0000113
MsgID.GLOBAL_POSITION,0.0000000,-122.3974521,37.7924799,0.0650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.5050000,-0.0525036,0.1068884,-0.0656957
MsgID.LOCAL_VELOCITY,15.5050000,0.0000035,0.0000064,0.0000113
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924799,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,15.7550000,-0.0573851,0.1705291,-0.0965894
MsgID.LOCAL_VELOCITY,15.7550000,0.0000049,-0.0000205,0.0000144
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924795,0.1300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.0040000,-0.1051524,0.1782528,-0.1307605
MsgID.LOCAL_VELOCITY,16.0040000,-0.0000051,0.0000126,0.0000116
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924792,0.1650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.2550000,-0.1318196,0.3965613,-0.1650339
MsgID.LOCAL_VELOCITY,16.2550000,-0.0000226,-0.0000274,0.0000202
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924799,0.2000000
